run_id, shf_land, shf_sea, ug_surface, vg_surface, pt_surface
1, 0.024006, 0.169814, 1.131914, -6.025179, 275.106999
2, 0.215601, -0.069868, -1.715651, 5.063745, 273.666298
3, 0.052478, 0.093370, 5.965559, -2.555608, 275.780090
4, 0.069595, 0.254415, 8.747144, 4.016216, 279.930932
5, 0.151616, 0.204351, -3.743335, 4.703316, 271.730597
6, 0.055357, 0.163497, -5.714723, -0.560275, 273.691226
7, 0.082107, -0.095901, -7.086132, -2.799509, 282.637312
8, 0.087846, 0.100199, 2.752891, -3.518145, 279.418137
9, 0.043624, -0.020937, -1.563599, 2.295223, 279.692945
10, 0.099172, 0.267466, 1.651649, 3.914944, 289.190717
11, 0.009414, 0.027285, 6.974849, -3.192251, 278.148416
12, 0.174852, 0.162349, 7.019545, 5.982577, 283.346963
13, 0.045910, 0.155640, 1.257088, -5.305062, 285.086495
14, 0.156507, 0.103184, -0.932368, -4.793205, 278.997620
15, 0.132791, 0.041819, 4.648816, -4.388812, 267.384498
16, 0.172781, 0.071764, -0.504118, -3.350067, 269.970186
17, 0.187867, 0.051779, 6.643810, 3.229233, 276.426209
18, 0.023987, 0.048728, -4.850093, 8.348453, 278.822206
19, 0.180514, 0.011285, 0.724141, 4.711448, 276.324946
20, 0.172178, 0.024080, -5.453886, 1.517602, 276.104118
21, 0.144944, -0.038452, 2.849059, 10.393216, 277.876870
22, 0.102390, 0.112568, -7.447903, 1.704587, 269.972951
23, 0.070062, 0.187001, -2.940868, 2.004996, 283.063695
24, 0.119512, 0.004034, -1.329901, 7.837645, 267.874771
25, 0.080695, 0.061352, 0.482989, 2.992862, 286.043455
26, 0.081084, 0.156864, 1.998961, 1.897389, 275.180380
27, 0.030187, 0.022997, -3.025749, 1.286746, 281.804747
28, 0.122643, 0.061573, 7.223880, 6.075462, 276.229999
29, 0.042360, 0.109115, 5.069195, 1.331060, 280.782744
30, 0.085154, 0.131939, 6.178178, -0.958675, 278.716539
31, 0.117767, 0.119861, -5.647556, -7.507475, 272.901725
32, 0.111756, 0.138770, -2.122698, 5.509030, 277.284120
33, 0.101422, 0.086423, 0.536107, 2.817896, 281.328267
34, 0.037110, 0.206656, -4.380106, 0.316908, 276.628017
35, 0.026571, 0.094742, -2.963255, 0.291629, 280.015430
36, 0.203035, 0.121517, -2.444901, -1.566479, 278.699891
37, 0.106542, 0.202171, 5.581412, -1.435744, 275.256789
38, -0.078994, 0.061576, -3.912231, -1.419298, 279.957921
39, 0.112403, 0.097902, 0.798328, -0.504471, 278.985095
40, -0.126174, 0.081149, -0.443403, -1.365047, 276.910269
41, 0.149232, 0.058133, 8.802808, 2.753188, 277.968464
42, 0.085534, 0.093943, -3.661228, -0.380810, 279.393418
43, 0.140568, 0.140578, -1.099510, -5.664329, 274.654487
44, 0.212854, 0.162724, 1.478478, -3.045177, 278.018226
45, 0.012103, 0.061364, -0.980813, -1.446560, 282.783010
46, 0.000689, 0.039420, -5.498752, -4.949413, 278.620279
47, -0.012031, 0.152771, -0.987263, 0.275153, 279.612884
48, 0.069608, 0.172274, -0.777371, 2.376281, 277.004438
49, 0.120361, 0.119576, 0.999880, -3.897231, 280.179379
50, 0.077673, 0.144134, -8.609974, -5.860465, 279.817228
51, 0.230405, 0.158454, -2.729804, -6.768210, 281.713431
52, 0.094359, 0.141349, 0.461195, 0.118572, 292.793127
53, 0.099571, 0.088853, -0.485795, -2.334147, 282.950664
54, 0.075237, 0.144516, 1.138412, 4.875943, 280.100898
55, 0.015063, 0.007146, 5.633477, -2.434843, 271.396987
56, 0.053127, 0.188524, -5.680852, -3.465981, 274.665962
57, 0.012417, 0.017097, -6.072432, -1.844750, 276.225456
58, 0.052222, -0.015759, 5.013344, -5.316315, 279.390169
59, 0.024766, 0.146782, 3.823329, -3.510454, 268.381421
60, 0.148705, 0.231306, 1.662778, 0.642178, 282.098803
61, 0.153554, 0.041971, -2.636605, 2.444494, 277.279933
62, 0.192162, 0.050696, 3.002440, 1.370552, 277.367812
63, 0.182314, 0.147605, -4.019869, 2.560875, 284.874953
64, 0.090869, 0.082594, -2.678589, -0.054416, 281.431003
