time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_direction
01:00:05,282.35971458933295,-0.64748013,0.4511511,4,drone90,55,129,4,5,0.7820215685225176,3.495609691307309
01:00:10,282.20588443185574,-0.6635125,0.41333213,3,drone90,55,129,5,10,0.9322145387266536,3.049115608161543
01:00:15,281.98109579903,-0.67642,0.38270664,3,drone90,55,124,7,15,1.39933976471788,2.026700992740882
01:00:20,282.2068526789313,-0.68872124,0.34925568,4,drone90,60,123,9,20,-0.5513842137310578,3.194206380018752
01:00:25,282.2008500518509,-0.6962099,0.3180813,3,drone90,63,128,10,25,0.4076807165332025,1.2617362973599127
01:00:30,282.2166131892809,-0.69705194,0.29316592,3,drone90,63,135,10,30,1.7155614996196675,2.026652731864633
01:00:35,281.5862647357771,-0.6911026,0.26587403,4,drone90,65,140,10,35,-0.8346699936658174,2.105638146065078
01:00:40,282.22629158153984,-0.6788995,0.23928683,3,drone90,66,147,10,40,2.0707339358574384,1.6682562634092803
01:00:45,282.4628184064406,-0.66057837,0.21196595,4,drone90,67,153,10,45,1.6491676461859595,2.3194035173744387
01:00:50,282.2510494944298,-0.6368092,0.18379007,3,drone90,69,160,10,50,0.6308662429489964,3.1484056844146626
01:00:55,282.42017631799644,-0.60526,0.15486518,4,drone90,70,167,10,55,-0.5450004660322164,2.019072106484711
01:01:00,282.02618782330455,-0.5635875,0.12620103,3,drone90,71,173,10,60,0.9359223395697381,0.7505685698593325
01:01:05,282.23382424039414,-0.51618785,0.10205102,3,drone90,72,179,10,65,1.7426774579296451,1.3667112467610174
01:01:10,282.04368123385404,-0.4489303,0.07502654,4,drone90,73,185,10,70,0.2433991060813369,1.6774433865691647
01:01:15,282.6602234542841,-0.37420657,0.0484595,3,drone90,75,192,10,75,0.7379225398637452,2.937697367791599
01:01:20,283.2690386644883,-0.31014243,0.02578284,3,drone90,76,198,10,80,1.8567084260891784,0.6639266156485615
01:01:25,282.0910171120813,-0.23975663,-0.0016281876,4,drone90,77,203,10,85,-0.40042138976709046,2.290348600748301
01:01:30,282.235438159984,-0.17496009,-0.030377703,3,drone90,78,209,10,90,-1.1379911417103798,2.1808865155174386
01:01:35,282.1934988582627,-0.12368915,-0.055428162,3,drone90,79,215,10,95,1.4022918953676748,2.5327902587195554
01:01:40,282.5585708191943,-0.07527942,-0.078725144,3,drone90,80,221,10,100,-0.5793161829172037,-0.3713470969333723
01:01:45,282.15807750256255,-0.021574162,-0.09976663,4,drone90,82,226,10,105,0.8357630096336759,0.17089465270492415
01:01:50,281.8864150625016,0.029183567,-0.11097,3,drone90,83,232,10,110,1.0171877246314633,-0.6168189207843395
01:01:55,282.4915872569081,0.069546096,-0.10988355,3,drone90,88,232,10,115,-1.411744937375505,0.4617491049434802
01:02:00,282.5356890125906,0.10681596,-0.09843608,3,drone90,90,228,10,120,-0.13559399416209666,-0.5393652069139764
01:02:05,282.2571937542469,0.14102878,-0.07758111,3,drone90,90,224,10,125,0.5506695206900984,-1.7969256476253097
01:02:10,282.0649711973469,0.17273134,-0.0496583,3,drone90,90,219,10,130,-0.4402172704006143,-0.5040949989758942
01:02:15,282.2964585991629,0.20254214,-0.01775424,3,drone90,90,214,10,135,1.2477047479169496,-1.2744057621386258
01:02:20,281.69873968919023,0.2357288,0.020290593,4,drone90,90,209,10,140,-0.9446033707981318,-0.5600766459604194
01:02:25,282.01576074461565,0.26859963,0.056797456,3,drone90,90,205,10,145,0.8700653015903805,-2.418097383438902
01:02:30,281.6679308934162,0.29655915,0.08506871,3,drone90,90,200,10,150,0.8799200511640508,-1.9650353547371664
01:02:35,281.93515824657476,0.32890862,0.11477688,4,drone90,90,194,10,155,1.0372245715064314,-2.4142222793044827
01:02:40,282.5107201606185,0.3602128,0.14231652,3,drone90,90,189,10,160,0.7446435837914469,-3.3585995411287413
01:02:45,282.3045497925944,0.385679,0.16566229,3,drone90,90,184,10,165,1.7424795631477046,-3.0650945183050844
01:02:50,281.72750092551496,0.41305834,0.19546503,4,drone90,90,178,10,170,0.5811550163943273,-2.8403610149793552
01:02:55,281.5052683220989,0.4407364,0.235357,4,drone90,91,172,10,175,1.0992350399751527,-1.5106488063582626
01:03:00,282.1112315642857,0.46127364,0.27790108,3,drone90,90,167,10,180,-1.2472728727617084,-1.8566232126457092
01:03:05,281.8326987553374,0.47737098,0.33035532,4,drone90,90,162,10,185,-0.10711478697090104,-1.7542130914681633
01:03:10,281.92689904695015,0.4885001,0.39364302,3,drone90,90,158,10,190,0.3231293281127278,-3.2754709312612977
01:03:15,281.5861837781727,0.49286985,0.47027913,4,drone90,90,153,10,195,1.7177286539584524,-1.4003294489421418
01:03:20,282.0401860675744,0.48962924,0.5607633,3,drone90,90,149,10,200,0.6805705731503668,-2.755320912569777
01:03:25,282.3075265866607,0.47712842,0.66237676,4,drone90,90,145,10,205,2.4049555415700627,-2.961589676963364
01:03:30,282.6137234684662,0.4573165,0.7670421,3,drone90,90,141,10,210,2.0024047186389238,-3.033492234986152
