time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff
01:00:05,279.732,0.4435714,-3.0308483,4,drone90,55,129,4,5
01:00:10,279.72568,0.30270794,-3.0641313,4,drone90,55,129,5,10
01:00:15,279.71628,0.12933837,-3.1001258,4,drone90,55,124,7,15
01:00:20,279.70532,-0.033519387,-3.1089509,3,drone90,60,123,9,20
01:00:25,279.69293,-0.17676413,-3.0783727,4,drone90,63,128,10,25
01:00:30,279.6803,-0.28830507,-3.0122452,4,drone90,63,135,10,30
01:00:35,279.67178,-0.3480938,-2.9494197,4,drone90,65,140,10,35
01:00:40,279.6673,-0.38523558,-2.9070952,4,drone90,66,147,10,40
01:00:45,279.66592,-0.41073337,-2.8741946,4,drone90,67,153,10,45
01:00:50,279.66708,-0.40806818,-2.834857,4,drone90,69,160,10,50
01:00:55,279.66998,-0.35530412,-2.7766898,4,drone90,70,167,10,55
01:01:00,279.67282,-0.25255212,-2.6874301,4,drone90,71,173,10,60
01:01:05,279.67407,-0.15496695,-2.5814693,3,drone90,72,179,10,65
01:01:10,279.6759,-0.11474257,-2.4771898,4,drone90,73,185,10,70
01:01:15,279.68857,-0.18040296,-2.4389215,4,drone90,75,192,10,75
01:01:20,279.72165,-0.2870709,-2.5228403,3,drone90,76,198,10,80
01:01:25,279.78256,-0.31179154,-2.687306,4,drone90,77,203,10,85
01:01:30,279.8579,-0.18873882,-2.8252566,3,drone90,78,209,10,90
01:01:35,279.9321,0.0055701546,-2.8252556,4,drone90,79,215,10,95
01:01:40,280.00208,0.10532129,-2.717538,3,drone90,80,221,10,100
01:01:45,280.06177,0.043840908,-2.6437292,4,drone90,82,226,10,105
01:01:50,280.07877,-0.14468773,-2.7328806,4,drone90,83,232,10,110
01:01:55,280.0076,-0.3301508,-2.917527,3,drone90,88,232,10,115
01:02:00,279.8855,-0.44973233,-3.0363026,4,drone90,90,228,10,120
01:02:05,279.8009,-0.48302805,-3.000037,4,drone90,90,224,10,125
01:02:10,279.79813,-0.42590654,-2.8877296,4,drone90,90,219,10,130
01:02:15,279.83435,-0.30502954,-2.8545463,3,drone90,90,214,10,135
01:02:20,279.88306,-0.14226872,-2.9523568,4,drone90,90,209,10,140
01:02:25,279.90918,-0.021866135,-3.177254,4,drone90,90,205,10,145
01:02:30,279.88086,-0.017092241,-3.3847072,4,drone90,90,200,10,150
01:02:35,279.8449,-0.049982123,-3.4488015,4,drone90,90,194,10,155
01:02:40,279.8361,-0.070293605,-3.3964279,3,drone90,90,189,10,160
01:02:45,279.84338,-0.097738706,-3.295118,4,drone90,90,184,10,165
01:02:50,279.8537,-0.15918525,-3.1774316,4,drone90,90,178,10,170
01:02:55,279.86255,-0.24914417,-3.0752735,4,drone90,91,172,10,175
01:03:00,279.86557,-0.3388512,-2.9968483,3,drone90,90,167,10,180
01:03:05,279.8583,-0.426315,-2.9326417,4,drone90,90,162,10,185
01:03:10,279.8464,-0.51652014,-2.8768702,4,drone90,90,158,10,190
01:03:15,279.8444,-0.5928831,-2.8332932,4,drone90,90,153,10,195
01:03:20,279.8557,-0.6499883,-2.7950263,4,drone90,90,149,10,200
01:03:25,279.8684,-0.6722657,-2.7625093,4,drone90,90,145,10,205
01:03:30,279.87244,-0.64375544,-2.7389727,4,drone90,90,141,10,210
01:03:35,279.86798,-0.5474151,-2.7087796,4,drone90,90,137,10,215
01:03:40,279.86176,-0.39524055,-2.629712,4,drone90,90,132,10,220
01:03:45,279.85938,-0.28871894,-2.4930925,3,drone90,90,128,10,225
01:03:50,279.8602,-0.26898655,-2.3515413,4,drone90,90,124,10,230
01:03:55,279.86258,-0.29956836,-2.291432,4,drone90,90,119,10,235
01:04:00,279.85977,-0.35561326,-2.3062186,4,drone90,91,115,10,240
01:04:05,279.85162,-0.4300331,-2.3001919,3,drone90,91,111,10,245
01:04:10,279.84857,-0.5120907,-2.2396104,4,drone90,91,107,10,250
01:04:15,279.85696,-0.5613969,-2.1223192,4,drone90,90,102,10,255
01:04:20,279.87326,-0.54386365,-1.9710062,4,drone90,91,97,10,260
01:04:25,279.89175,-0.4903228,-1.8212904,3,drone90,91,93,10,265
01:04:30,279.9209,-0.43208256,-1.6779218,4,drone90,91,88,10,270
01:04:35,279.97504,-0.39349476,-1.5440915,4,drone90,91,83,10,275
