time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_direction
01:00:05,276.582512946798,0.9680658,-3.181099,4,drone90,52,125,4,5,3.198071337480749,-0.653014585936887
01:00:10,276.7779356715455,0.6964926,-3.1779728,4,drone90,52,125,5,10,2.296869037935002,0.6086158861553972
01:00:15,276.0134653924586,0.49583036,-3.3907642,4,drone90,52,120,7,15,4.296516156886505,-0.7280224748936985
01:00:20,276.16743339251707,0.41835588,-3.8076982,4,drone90,57,119,9,20,4.212224416500819,-0.24955252681864315
01:00:25,276.2360815735121,0.4098989,-4.287629,4,drone90,60,124,10,25,4.677191245021596,-1.0612788829574582
01:00:30,276.6509359719857,0.41399062,-4.715692,4,drone90,60,131,10,30,6.367534130715139,0.12781060290340523
01:00:35,276.1028324259305,0.38569504,-5.0368147,4,drone90,62,136,10,35,5.612236695471157,0.032602460843652384
01:00:40,275.4541886603814,0.31405163,-5.2092004,4,drone90,63,143,10,40,5.579988057947567,0.09183693836786837
01:00:45,275.73917618582215,0.1595338,-5.1751275,4,drone90,64,149,10,45,4.610070437808488,-0.2004501763214462
01:00:50,275.5778460950777,-0.06343293,-4.981049,4,drone90,66,156,10,50,5.426142177813231,-0.8404075425746719
01:00:55,275.20769114778636,-0.126705,-4.858986,3,drone90,67,163,10,55,4.625010633149672,0.6011824013675428
01:01:00,275.28990717318953,-0.026108118,-4.809967,4,drone90,68,169,10,60,5.240424040892422,0.10491453306322347
01:01:05,275.2326612944632,0.07341771,-4.680516,4,drone90,70,175,10,65,4.767402312490433,0.01373122163614848
01:01:10,275.5213124005895,0.030624347,-4.4703927,3,drone90,71,181,10,70,4.544031323576239,1.3194851320021403
01:01:15,275.59268800638637,-0.08054225,-4.277866,4,drone90,72,188,10,75,4.4108747440804414,-1.9867320054402102
01:01:20,274.99976308582444,-0.14927988,-4.1398077,4,drone90,73,194,10,80,3.718597037370405,-0.09868673562445478
01:01:25,275.8436745333521,-0.12321087,-4.012017,4,drone90,74,199,10,85,3.0610741502596603,1.4195365486269504
01:01:30,275.5298160015265,-0.061688386,-3.842558,4,drone90,75,205,10,90,4.489093020061282,0.6017700316890418
01:01:35,275.4708026208761,-0.05024322,-3.700181,4,drone90,76,211,10,95,3.2500357216457147,-0.06546882040840908
01:01:40,275.43173772928714,-0.10499281,-3.6089077,4,drone90,78,217,10,100,4.396644998914187,-0.12542867411400493
01:01:45,276.02881295105004,-0.14985885,-3.5256608,3,drone90,79,222,10,105,3.170732247836086,-0.8056249175893313
01:01:50,275.5224050950808,-0.13374762,-3.4221983,4,drone90,81,228,10,110,2.9361371730989516,-0.32085531240296383
01:01:55,275.5465531087843,-0.07315361,-3.2839136,4,drone90,85,228,10,115,3.8427653290502226,1.7532687561538571
01:02:00,275.86195006372316,-0.06719741,-3.152161,4,drone90,87,224,10,120,2.5789746327794534,-0.2956851887939524
01:02:05,275.7875078247464,-0.15927678,-3.1184716,4,drone90,87,220,10,125,2.5806911336948013,0.0288317459685387
01:02:10,276.20941008988234,-0.2157671,-3.1990716,3,drone90,87,215,10,130,3.8205821135294697,-0.40311642047240864
01:02:15,276.16537733635136,-0.1672744,-3.3620548,4,drone90,87,210,10,135,2.0503169393351075,-0.6662992582204711
01:02:20,276.2333766707817,-0.103913404,-3.625636,4,drone90,87,205,10,140,3.401629324464691,1.210639808990465
01:02:25,276.4649094824672,-0.20304847,-4.0226,4,drone90,87,200,10,145,3.705470032532521,-0.4965916363449182
01:02:30,275.9439604066033,-0.4332676,-4.397896,3,drone90,87,196,10,150,3.066577005811604,1.9251766294511132
01:02:35,275.60262809633673,-0.6030264,-4.572073,4,drone90,87,190,10,155,5.135190770208606,-1.0861231991511437
01:02:40,275.30795558679927,-0.6003314,-4.5589166,4,drone90,87,185,10,160,5.463930618480382,-0.5765888458589454
01:02:45,275.5752898594593,-0.557195,-4.550493,4,drone90,87,180,10,165,3.9719587231382922,0.32843326237195847
01:02:50,275.27223441522835,-0.5664095,-4.603913,3,drone90,87,174,10,170,4.894892490924329,0.73476922215931
01:02:55,275.7843166645913,-0.5876743,-4.6136146,4,drone90,88,168,10,175,4.648813322416059,-0.22736887925975566
01:03:00,275.6435759166547,-0.6020216,-4.520034,4,drone90,87,163,10,180,4.581242467514039,0.16444015169955303
01:03:05,275.4774731546862,-0.57721883,-4.388237,3,drone90,87,158,10,185,5.113223721723097,0.4171797250865869
01:03:10,275.391168503982,-0.48818153,-4.2347913,4,drone90,88,154,10,190,4.929198707647975,0.31351519455755317
01:03:15,275.5935656050915,-0.36285484,-4.094882,3,drone90,88,149,10,195,2.9651895440521834,-0.37928751034163255
01:03:20,275.82071126028166,-0.25619805,-4.019476,4,drone90,87,145,10,200,4.184176170251204,0.8132929998858073
01:03:25,275.9275411922792,-0.16551575,-3.9974508,4,drone90,87,141,10,205,3.8693571879562314,0.1407878380603031
01:03:30,275.3362964782543,-0.062156305,-3.961129,3,drone90,87,137,10,210,5.138498678639804,-1.119744452207732
01:03:35,276.2826822197408,0.08188933,-3.8686724,4,drone90,88,133,10,215,3.7297222670309527,-0.14264601095463733
01:03:40,275.52421478507165,0.23793167,-3.744629,4,drone90,88,128,10,220,3.711990913611654,0.515650914309765
