time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff
01:00:05,275.7278,1.2943381,1.3675884,3,drone90,52,125,4,5
01:00:10,275.7269,1.4225839,1.6002045,4,drone90,52,125,5,10
01:00:15,275.59308,1.5101537,1.8142732,4,drone90,52,120,7,15
01:00:20,275.32117,1.6372085,1.8803709,4,drone90,57,119,9,20
01:00:25,275.1808,1.7703921,1.8904905,3,drone90,60,124,10,25
01:00:30,275.20572,1.8700277,1.9457481,4,drone90,60,131,10,30
01:00:35,275.2676,1.937366,2.0827293,4,drone90,62,136,10,35
01:00:40,275.25024,1.9639539,2.3297951,4,drone90,63,143,10,40
01:00:45,275.23273,1.9070102,2.6325023,4,drone90,64,149,10,45
01:00:50,275.2705,1.7386523,2.7710016,3,drone90,66,156,10,50
01:00:55,275.2676,1.5193834,2.7078962,4,drone90,67,163,10,55
01:01:00,275.20285,1.3721358,2.5481539,3,drone90,68,169,10,60
01:01:05,275.15546,1.3080516,2.3679576,4,drone90,70,175,10,65
01:01:10,275.154,1.2640382,2.1850731,4,drone90,71,181,10,70
01:01:15,275.17648,1.2373255,2.070016,3,drone90,72,188,10,75
01:01:20,275.2013,1.2332568,1.9997895,4,drone90,73,194,10,80
01:01:25,275.2245,1.2592437,1.9434143,4,drone90,74,199,10,85
01:01:30,275.23975,1.3035259,1.8935366,3,drone90,75,205,10,90
01:01:35,275.25366,1.3671857,1.8412327,4,drone90,76,211,10,95
01:01:40,275.2733,1.4493524,1.7954649,4,drone90,78,217,10,100
01:01:45,275.29657,1.5260879,1.7669145,4,drone90,79,222,10,105
01:01:50,275.31363,1.5703646,1.738885,3,drone90,81,228,10,110
01:01:55,275.32452,1.5870264,1.693288,4,drone90,85,228,10,115
01:02:00,275.3337,1.5658137,1.6318891,4,drone90,87,224,10,120
01:02:05,275.346,1.4965812,1.5904777,4,drone90,87,220,10,125
01:02:10,275.36166,1.3995408,1.5931587,3,drone90,87,215,10,130
01:02:15,275.3816,1.2858244,1.6373988,4,drone90,87,210,10,135
01:02:20,275.40564,1.1586707,1.7138914,4,drone90,87,205,10,140
01:02:25,275.42093,1.0657306,1.7716705,3,drone90,87,200,10,145
01:02:30,275.41916,0.9992265,1.7872972,4,drone90,87,196,10,150
01:02:35,275.39606,0.94246215,1.7545114,4,drone90,87,190,10,155
01:02:40,275.38446,0.8830196,1.7123566,3,drone90,87,185,10,160
01:02:45,275.44104,0.8129745,1.6991501,4,drone90,87,180,10,165
01:02:50,275.63696,0.816646,1.7452687,4,drone90,87,174,10,170
01:02:55,275.8764,0.96723557,1.8788458,3,drone90,88,168,10,175
01:03:00,275.9828,1.1748312,2.1200395,4,drone90,87,163,10,180
01:03:05,275.8056,1.2696533,2.4015334,4,drone90,87,158,10,185
01:03:10,275.48764,1.1589873,2.5629175,4,drone90,88,154,10,190
01:03:15,275.34946,1.0058831,2.6420536,3,drone90,88,149,10,195
01:03:20,275.4187,0.915928,2.785946,4,drone90,87,145,10,200
01:03:25,275.528,0.871065,2.9868705,4,drone90,87,141,10,205
01:03:30,275.42953,0.7955762,3.0623815,4,drone90,87,137,10,210
01:03:35,275.219,0.7343371,3.0180082,4,drone90,88,133,10,215
01:03:40,275.1467,0.75539136,2.951347,4,drone90,88,128,10,220
01:03:45,275.18674,0.78592366,2.8663468,4,drone90,88,124,10,225
01:03:50,275.2295,0.7653668,2.7532554,4,drone90,88,120,10,230
01:03:55,275.25858,0.72825944,2.641504,4,drone90,88,115,10,235
01:04:00,275.2956,0.7213689,2.5699282,4,drone90,88,111,10,240
01:04:05,275.33636,0.74108404,2.5514598,4,drone90,88,107,10,245
01:04:10,275.35425,0.7633749,2.5715125,4,drone90,88,102,10,250
01:04:15,275.34244,0.7856566,2.6037128,4,drone90,88,98,10,255
