time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_dir
01:00:05,279.62564,-4.690179,-2.3770244,7,drone90,52,125,4,5,5.258138839003432,3.6106725237497073
01:00:10,279.77017,-4.593516,-2.5741198,7,drone90,52,125,5,10,5.2655941722666055,3.652371088721605
01:00:15,279.6903,-3.0298522,-3.6438627,6,drone90,52,120,7,15,4.738959773019405,4.018736833263329
01:00:20,279.43588,-1.809516,-4.823052,7,drone90,57,119,9,20,5.151327862693268,4.353459902242707
01:00:25,279.47495,-2.747348,-5.2087564,6,drone90,60,124,10,25,5.888893297356046,4.22702487527856
01:00:30,279.08496,-4.4127793,-4.73069,7,drone90,60,131,10,30,6.469315962805379,3.961745971253184
01:00:35,278.915,-4.7846503,-3.861346,6,drone90,62,136,10,35,6.148403973797272,3.8206041979246472
01:00:40,278.9443,-3.96361,-4.0895963,7,drone90,63,143,10,40,5.69517358199675,3.942633781883235
01:00:45,279.08725,-2.6389399,-4.036656,6,drone90,64,149,10,45,4.822716605622603,4.133386229873739
01:00:50,279.2571,-2.1979058,-4.314879,6,drone90,66,156,10,50,4.8424137256449535,4.241266897266952
01:00:55,279.07632,-2.4526138,-5.028376,6,drone90,67,163,10,55,5.59462953637919,4.258585549252536
01:01:00,279.11053,-2.6507056,-5.6354446,7,drone90,68,169,10,60,6.227718363697937,4.2727306718266815
01:01:05,279.3352,-3.7364433,-5.9295273,6,drone90,70,175,10,65,7.0085877704113955,4.150100696995329
01:01:10,279.33902,-5.5337715,-4.8723764,7,drone90,71,181,10,70,7.373105098768715,3.8635180832886507
01:01:15,279.1838,-5.891525,-3.3285034,7,drone90,72,188,10,75,6.7667571043622186,3.6558524036172715
01:01:20,278.9495,-5.277505,-2.7857187,7,drone90,73,194,10,80,5.967603178877989,3.6272694079429613
01:01:25,278.853,-4.5124054,-2.2835178,8,drone90,74,199,10,85,5.057297305564109,3.61007119534351
01:01:30,278.82126,-4.3092475,-1.7511982,6,drone90,75,205,10,90,4.651484618048252,3.5275881371985314
01:01:35,278.7885,-4.608895,-1.6077191,7,drone90,76,211,10,95,4.881257402097313,3.477224439582305
01:01:40,278.7615,-4.928399,-1.9684328,7,drone90,78,217,10,100,5.306961879580146,3.5215869739436396
01:01:45,278.7524,-5.156368,-2.1861446,7,drone90,79,222,10,105,5.600657029629038,3.542590436584601
01:01:50,278.7536,-5.341868,-2.2606711,7,drone90,81,228,10,110,5.800533385112028,3.541936516644249
01:01:55,278.75296,-5.34094,-2.3245232,7,drone90,85,228,10,115,5.8248646500101815,3.552093974381423
01:02:00,278.72925,-5.1953526,-2.3710573,6,drone90,87,224,10,120,5.7108319322328205,3.5697398697524547
01:02:05,278.70325,-4.809628,-2.2867887,7,drone90,87,220,10,125,5.325591427891525,3.5854167456523234
01:02:10,278.70248,-4.092709,-1.7437707,7,drone90,87,215,10,130,4.448708038617447,3.544367219970207
01:02:15,278.72452,-3.3681428,-1.2437481,6,drone90,87,210,10,135,3.5904449943489527,3.495328757807276
01:02:20,278.7828,-2.8238056,-1.1864945,6,drone90,87,205,10,140,3.0629474799809433,3.539369991316003
01:02:25,278.88657,-2.3906772,-1.4650818,6,drone90,87,200,10,145,2.803890539106525,3.6913935446700514
01:02:30,279.01703,-2.0788655,-2.063438,7,drone90,87,196,10,150,2.9290712089217377,3.923266457178971
01:02:35,279.0726,-2.0502918,-2.5069466,6,drone90,87,190,10,155,3.2385919348381638,4.026861724405201
01:02:40,279.07147,-2.4815214,-2.5387743,7,drone90,87,185,10,160,3.550115970640741,3.938394611017086
01:02:45,279.1063,-3.6168935,-3.3047774,7,drone90,87,180,10,165,4.899333858178376,3.881928748022703
01:02:50,278.88196,-4.4801636,-4.328134,7,drone90,87,174,10,170,6.2293346197423825,3.90973271411678
01:02:55,278.76944,-3.8154197,-3.4421504,7,drone90,88,168,10,175,5.138660026054287,3.8756043764061254
01:03:00,278.77756,-2.8295243,-2.8019965,6,drone90,87,163,10,180,3.9821341200796767,3.9221026914293997
01:03:05,278.89493,-2.6870358,-2.8163514,7,drone90,87,158,10,185,3.8925565633351558,3.950483950123088
01:03:10,279.1685,-2.3646047,-3.2443936,6,drone90,88,154,10,190,4.014653810602235,4.0825762538825074
01:03:15,279.30344,-1.9316194,-3.498153,7,drone90,88,149,10,195,3.996026516161443,4.207871573698869
01:03:20,279.21063,-1.9822992,-3.639446,6,drone90,87,145,10,200,4.144282483764426,4.213646652803531
01:03:25,279.119,-2.0603306,-3.7892342,7,drone90,87,141,10,205,4.313149429795588,4.214370234842274
01:03:30,279.18527,-1.8013688,-3.9401052,6,drone90,87,137,10,210,4.33236177398431,4.283573617336707
01:03:35,279.2793,-1.5530322,-3.9398055,7,drone90,88,133,10,215,4.2348525820938665,4.336901177179026
01:03:40,279.2549,-1.6796839,-3.7750595,7,drone90,88,128,10,220,4.131877567457615,4.293748938751449
01:03:45,279.2285,-2.2298071,-3.5740979,7,drone90,88,124,10,225,4.212625725363555,4.154595684848749
01:03:50,279.32324,-3.1520526,-3.4842782,7,drone90,88,120,10,230,4.6984710457937275,3.9770106982887317
01:03:55,279.1118,-4.345066,-3.8492694,7,drone90,88,115,10,235,5.804866360057944,3.8665596908293107
01:04:00,278.83,-4.1517444,-4.1891503,6,drone90,88,111,10,240,5.8979625125056065,3.9314754257228075
01:04:05,278.80533,-3.543877,-4.1573625,7,drone90,88,107,10,245,5.462849727709454,4.006483570112859
01:04:10,278.83536,-3.4375734,-4.03521,6,drone90,88,102,10,250,5.300927336276886,4.0067960610378694
01:04:15,278.88184,-3.3517385,-3.646135,7,drone90,88,98,10,255,4.952620660883211,3.9690354475911866
01:04:20,278.92908,-3.2515717,-3.3108804,8,drone90,88,93,10,260,4.640543884432627,3.9360281530986336
01:04:25,278.9502,-3.1472096,-3.0458047,7,drone90,88,89,10,265,4.379709412378206,3.9106182019769737
01:04:30,278.96298,-2.9348202,-2.8572857,8,drone90,88,84,10,270,4.096004294156994,3.91360537986535
01:04:35,279.01138,-2.6204257,-2.8203633,7,drone90,88,79,10,275,3.849815579116405,3.963722194311813
01:04:40,279.0952,-2.2586586,-2.9095123,6,drone90,88,75,10,280,3.683313792660795,4.052266339339889
01:04:45,279.14886,-1.8571961,-3.0637002,7,drone90,88,70,10,285,3.582657710322778,4.167427649476848
01:04:50,279.09528,-1.4490484,-3.1302495,7,drone90,88,64,10,290,3.449377218831366,4.278844639138622
01:04:55,279.00266,-1.0278286,-3.004501,6,drone90,88,59,10,295,3.175446093067706,4.382772619520763
01:05:00,278.96103,-0.7250609,-2.8777587,7,drone90,88,54,10,300,2.967694129140417,4.46557273154071
01:05:05,278.97177,-0.6873751,-2.8894415,6,drone90,88,49,10,305,2.9700768862139344,4.478838116002998
01:05:10,278.97998,-0.83843666,-2.9512424,7,drone90,88,44,10,310,3.0680299438548047,4.435585954546392
01:05:15,278.91995,-1.0191447,-2.849303,7,drone90,88,39,10,315,3.026083856297953,4.368886873093019
01:05:20,278.84836,-0.98514587,-2.4651644,6,drone90,88,34,10,320,2.6547218129599597,4.332204330556044
